,0
0,-126.98143196874298
1,-59.814031804329716
2,280.63523308816366
3,-153.74561806081329
4,-1094.4912403025664
5,-2345.358185485471
6,-6218.457192986505
7,2291.3144952263683
8,5220.196377930231
9,-2157.3965097574983
10,3493.9604662875645
11,-11323.922590965638
12,-5167.057337602484
13,2119.679151518387
14,7805.110325166723
15,-3224.7093684005085
16,-1263.1363848791225
17,1270.0009753635386
18,-865.3536934029544
19,3413.1857731628697
20,-1438.554379888461
21,778.0355042016599
22,714.414781492902
23,-10708.534050301067
24,349.5195192540996
25,1212.0722468853928
26,4856.919825227698
27,10942.157913889503
28,-2142.631395313889
29,2340.5405365705956
30,4367.454030253692
31,5815.306177616236
32,4914.787500662729
33,1282.7776264381828
34,8121.866099554114
35,-3386.417629694566
36,1446.5273921784246
37,-3940.0213484633714
38,-2899.8150815193076
39,1468.1682763851713
40,940.6037499265512
41,-1796.5447209542617
42,5984.828756389441
43,528.568033231888
44,993.8575568391243
45,6019.574489273597
46,-881.652006834629
47,1282.0671193616
48,6757.9731218415545
49,-423.77189001860097
50,-1027.248538132757
51,-2656.951459249016
52,-105.86756852816325
53,1417.8320824346738
54,22159.735514448024
55,5700.3092125963885
56,11838.394437529612
57,-7244.909877360333
58,-2644.1031751653645
59,-16674.038758894545
60,1259.1927725682035
61,-7241.34172698867
