,0
0,6918.342610886786
1,-37805.29060392105
2,-56830.35857950477
3,26187.640342022292
4,-3852.7588007010054
5,-59388.0887159016
6,29643.33168607205
7,19180.68707503029
8,-1352.969853923656
9,20110.50222763419
10,17103.373215003172
11,4694.574099458987
12,-5393.281051872997
13,-10771.070364278043
14,1832.0838641703594
15,21741.19008262595
16,20982.939556282246
17,-18036.797095240327
18,-12761.169113220647
19,-16519.563374976162
20,6077.55465110112
21,5787.030337698758
22,-4849.459013335872
23,-2759.434779383475
24,7171.179190161172
25,26683.948644792894
26,-6538.371312371455
27,-10354.652896185173
28,-10442.800965047674
29,-2142.1911911447532
30,5028.490715256194
31,-13990.414127658354
32,8310.169548309874
33,-7625.357173241675
34,-32122.257448181743
35,-18919.972576085012
36,39899.52637964068
37,-22006.907685447484
38,-1123.071456559468
39,15159.352854497265
40,-33593.2244902954
41,19392.449037261773
42,18676.77925261925
43,8852.536758342292
44,-33070.28577937139
45,4237.356444211677
46,16937.570844290312
47,-7902.339809504105
48,16593.387511266395
49,-6736.30968168634
50,13660.466763354372
51,11549.035171320662
52,2910.7706724682357
53,7628.522596297087
54,-10353.361786729889
55,3463.6262342566624
56,-10864.914902087767
57,-3833.155510483077
58,32553.032843273133
59,-649.4169365456328
60,-8749.368637365988
61,1210.1586860227399
