,0
0,1233372.0671824727
1,1250261.9071140643
2,1249011.6667714473
3,1249011.6667714473
4,1249011.6667714473
5,1249011.6667714473
6,1249011.6667714473
7,1249011.6667714473
8,1249011.6667714473
9,1249011.6667714473
10,1249011.6667714473
11,1249011.6667714473
12,1249011.6667714473
13,1249011.6667714473
14,1250088.429743599
15,1249909.090706065
16,1249909.090706065
17,1249909.090706065
18,1249909.090706065
19,1249909.090706065
20,1249909.090706065
21,1249909.090706065
22,1249909.090706065
23,1249909.090706065
24,1249909.090706065
25,1252762.016621714
26,1253783.03455031
27,1257175.342184926
28,1257445.6145429919
29,1256740.9117948997
30,1256740.9117948997
31,1256740.9117948997
32,1255541.2689369945
33,1259474.5908416682
34,1259111.9227286421
35,1259111.9227286421
36,1259111.9227286421
37,1259111.9227286421
38,1259111.9227286421
39,1260204.2827156545
40,1262900.6964945784
41,1260534.5663296166
42,1263506.497010501
43,1266451.2167045707
44,1270313.9548277948
45,1270551.3444813064
46,1262331.2053045798
47,1261624.7098953014
48,1258256.144391119
49,1259943.2938446954
50,1258683.3584546004
51,1258683.3584546004
52,1258683.3584546004
53,1258683.3584546004
54,1258683.3584546004
55,1258683.3584546004
56,1258683.3584546004
57,1258683.3584546004
58,1258683.3584546004
59,1258683.3584546004
60,1258683.3584546004
61,1258683.3584546004
62,1258683.3584546004
