,0
0,1245039.3205187698
1,1245950.7909502042
2,1245757.729345214
3,1245757.729345214
4,1245757.729345214
5,1245757.729345214
6,1245757.729345214
7,1245757.729345214
8,1245757.729345214
9,1245757.729345214
10,1245757.729345214
11,1245757.729345214
12,1245757.729345214
13,1245757.729345214
14,1245757.729345214
15,1248352.3853398021
16,1253082.1538147468
17,1251100.4640191924
18,1252177.877617652
19,1256316.7902629843
20,1262771.5400766602
21,1276436.1882140283
22,1271878.8823175742
23,1311257.7565982006
24,1324530.1623740827
25,1312265.185318531
26,1292968.5812413762
27,1291675.6179436895
28,1293320.1260356572
29,1293175.7911225413
30,1293175.7911225413
31,1293175.7911225413
32,1293175.7911225413
33,1293175.7911225413
34,1293175.7911225413
35,1293175.7911225413
36,1293175.7911225413
37,1293175.7911225413
38,1293175.7911225413
39,1293175.7911225413
40,1293175.7911225413
41,1293175.7911225413
42,1293175.7911225413
43,1293175.7911225413
44,1293175.7911225413
45,1293175.7911225413
46,1293175.7911225413
47,1293175.7911225413
48,1293175.7911225413
49,1293175.7911225413
50,1293175.7911225413
51,1293408.6466251092
52,1292575.065528839
53,1289565.6823802623
54,1294618.19246921
55,1300453.2325190837
56,1291313.314540596
57,1281602.502658952
58,1280395.428469157
59,1280395.428469157
60,1280395.428469157
61,1280395.428469157
62,1280395.428469157
