,0
0,1371636.0526933197
1,1376313.3398596696
2,1338508.0492557485
3,1281677.6906762437
4,1307865.331018266
5,1304012.572217565
6,1244624.4835016634
7,1274267.8151877355
8,1293448.5022627658
9,1292095.5324088421
10,1312206.0346364763
11,1329309.4078514795
12,1334003.9819509385
13,1328610.7008990655
14,1317839.6305347874
15,1319671.7143989578
16,1341412.9044815837
17,1362395.844037866
18,1344359.0469426257
19,1331597.877829405
20,1315078.3144544289
21,1321155.86910553
22,1326942.8994432287
23,1322093.4404298929
24,1319334.0056505094
25,1326505.1848406706
26,1353189.1334854634
27,1346650.762173092
28,1336296.1092769068
29,1325853.3083118591
30,1323711.1171207144
31,1328739.6078359706
32,1314749.1937083122
33,1323059.363256622
34,1315434.0060833804
35,1283311.7486351987
36,1264391.7760591137
37,1304291.3024387544
38,1282284.3947533069
39,1281161.3232967474
40,1296320.6761512447
41,1262727.4516609493
42,1282119.900698211
43,1300796.6799508303
44,1309649.2167091726
45,1276578.9309298012
46,1280816.2873740129
47,1297753.8582183032
48,1289851.518408799
49,1306444.9059200655
50,1299708.5962383791
51,1313369.0630017335
52,1324918.0981730542
53,1327828.8688455224
54,1335457.3914418195
55,1325104.0296550896
56,1328567.6558893463
57,1317702.7409872585
58,1313869.5854767754
59,1346422.6183200486
60,1345773.201383503
61,1337023.832746137
62,1338233.9914321597
