,0
0,113.65126568533015
1,-246.58621960273013
2,1335.701204363606
3,-669.6912483088672
4,-2079.721360067604
5,-2433.999018890667
6,2517.351439013146
7,1190.2619476885302
8,-5780.7888039713725
9,7588.075221463223
10,-4397.4504399521975
11,-16681.67694024474
12,-18535.883867658093
13,3160.1126938546076
14,-7012.074218957103
15,9364.960847351584
16,-5897.075659028254
17,-13530.087166830665
18,13559.890488611767
19,10869.116197295836
20,-1220.774740022258
21,-27954.977852305747
22,5445.663401602884
23,-9458.125185198733
24,10551.882043420104
25,288.46777140302584
26,7679.700908190804
27,-3007.8472619707463
28,15813.408227243344
29,4316.350342295598
30,3803.727332154638
31,851.7288243612275
32,-262.7924708885839
33,-5587.389302900061
34,8605.883011099533
35,-4324.199592205347
36,-171.23912347538862
37,6446.735501602525
38,1423.430968518951
39,-2615.742902677506
40,10955.992585702566
41,13712.429127644398
42,1845.0949395247735
43,-941.2329043900827
44,7585.552481028717
45,6118.86833941564
46,2745.8196307610488
47,75.1766367618693
48,6929.028071867768
49,1672.356382306316
50,6181.556358723785
51,-5126.56883512449
52,1791.904022748582
53,4317.5136428894475
54,-6021.279204896302
55,2614.6247975840233
56,-3198.8403881811537
57,5279.373453952023
58,1069.2224798238603
59,-5704.2815686746035
60,2365.3898651942145
61,5579.609657691792
62,-1281.5323266237974
63,1615.9188837000402
64,4086.914120031637
65,3555.3988632307155
66,-3331.9703632548917
67,4422.2148845780175
68,14832.061514462577
69,-206.58057358139195
70,-42567.32410097984
71,9058.792303001741
72,-5159.77843364235
73,276.50592582067475
74,3693.1540428516455
75,266.6976794919465
76,-8989.202927868115
77,-8436.722598797642
78,8572.853193357587
79,11527.246164965327
80,-33146.003596741706
81,15449.513347559026
82,-10855.305198881193
83,-5074.40674464975
84,-31826.29185579566
85,-9051.93606806139
86,27294.421321178786
87,-3120.8549962964607
88,23343.416998695466
89,-11502.609075033804
90,-13539.852435866254
91,-1182.2971532292431
92,-16492.2392202334
93,-2428.7173168044537
94,-33976.27362466999
95,14538.675613323227
96,-12825.011007088819
97,7012.990650913096
98,-9256.232604244957
99,23179.587376374984
100,-9787.24191540666
101,-7696.73316346074
102,17093.331457677414
103,-777.8088192975847
104,-24787.785695752245
105,-13481.858874607598
106,1921.865576289827
107,-2975.8242471200647
108,12061.989762305631
109,6641.1815015064785
110,-4609.563381634187
111,19318.18647030997
112,66.43085325218271
113,2853.744285473018
114,1926.867583802552
115,-894.8093398452038
116,-15121.331205743365
117,1751.2729276346508
118,-9878.504339504754
119,3810.949992915732
120,-2701.533777586301
121,-22695.036104009952
122,-9327.765832654899
123,-1803.524761805078
124,-3100.886997751659
125,5428.045507855364
126,23320.81713921379
127,6684.567424274515
128,5709.802282954683
129,444.60667962313164
130,12004.534673689515
131,-846.0039191126125
132,8649.728803257807
133,-15278.211337886984
134,4230.177136875107
135,6596.274735652492
136,-10751.736961591174
137,15078.80714509997
138,9848.753688123543
139,4966.543716287939
140,-2231.06732694339
141,-4250.238248904585
142,4649.400066243019
143,-1255.536954613286
144,15099.122656092863
145,212.8379560597241
146,7713.31734978687
147,-2637.745245582075
148,-2362.52981303446
149,6738.041165270726
150,-6782.899207100505
151,-24358.18588781962
152,-3078.7247477998026
153,-4527.148479396361
154,-1458.6913886957336
155,10218.206100740004
156,2521.7907277276972
157,-13435.401090557221
158,-2144.1206751044374
159,-3513.2102593745803
160,-12821.199386198074
161,2979.483044956345
162,-11326.070984179387
163,5685.098231989308
164,-13066.818756822613
165,-4506.51688966935
166,21027.018264875864
167,5365.012778103235
168,21291.373213367304
169,-10819.528229998425
170,5812.568420944037
171,3464.4931241802406
