,0
0,1070363.3174458772
1,1071096.036057534
2,1064506.6222434114
3,1065808.3489163953
4,1062292.9236983706
5,1064129.5433490523
6,1062963.631024749
7,1067554.2997032187
8,1073548.010490439
9,1082977.7324493444
10,1086081.2196333308
11,1094133.4551071099
12,1095394.7587214455
13,1084655.8712007217
14,1092788.2879357045
15,1095954.041397998
16,1096743.8914623419
17,1099454.0231990966
18,1108074.9590176453
19,1107253.1887790035
20,1123807.5507403268
21,1113869.2842054153
22,1115910.5340135724
23,1115216.9396038444
24,1115078.1417540682
25,1110905.3024314763
26,1107438.6101528374
27,1112251.2402954185
28,1114799.4059523891
29,1109922.1406289076
30,1120028.011517772
31,1116847.9064579995
32,1115610.0157985862
33,1116275.1127165393
34,1104466.350282612
35,1104007.7492115456
36,1100875.396186516
37,1096335.8212309564
38,1096850.8276371136
39,1104492.1883791992
40,1100699.233339331
41,1105033.3214542866
42,1098753.8477340846
43,1100034.6975413319
44,1106329.6891602608
45,1104536.7642011356
46,1107705.2661123301
47,1110192.4214364847
48,1109858.8907172459
49,1110846.53944075
50,1102826.5533500353
51,1096210.7728863282
52,1110371.4206856738
53,1112812.8682209395
54,1112288.5472598833
55,1121948.6279661888
56,1122779.7212975859
57,1134159.595645513
58,1154342.7351338228
59,1152490.0111202071
60,1150110.9787891496
61,1152770.182763912
62,1147710.8340359367
