,0
0,967014.1878703445
1,967039.6920573497
2,959419.3638810872
3,956413.2394336909
4,954398.7785206432
5,952239.6642371756
6,972794.1002375047
7,976371.198054099
8,985491.6183456535
9,997155.0481489233
10,1001234.334900011
11,1010427.917475281
12,1010739.1037666498
13,1009143.543513907
14,1008928.9864148926
15,1000625.1739434873
16,1006071.9294950911
17,1010670.5600100213
18,1017385.2607981768
19,1018975.3711076109
20,1017087.8608254864
21,1028346.1826157194
22,1032018.073906048
23,1035716.6211268281
24,1034666.0399001371
25,1030542.1503855517
26,1031574.3232956022
27,1043809.6509604381
28,1043952.7685350124
29,1053400.8228260009
30,1053494.8992143113
31,1059369.8802362052
32,1050129.6036834002
33,1054999.9269109913
34,1059213.4971879383
35,1056111.6494985032
36,1058391.0536300049
37,1055243.0657156943
38,1053346.0748000268
39,1057153.4320348396
40,1056779.6627639986
41,1047456.0168160324
42,1046810.6763680337
43,1041323.6659875985
44,1051126.1519217808
45,1054782.9663998722
46,1055306.0291223016
47,1058051.5476019718
48,1054430.4117650073
49,1053602.639046397
50,1061804.9174802233
51,1058572.5422237115
52,1058362.785198733
53,1055429.2611853958
54,1051075.3182471818
55,1048627.377574685
56,1054010.409835321
57,1051714.3410031672
58,1061465.816821161
59,1067191.9393362417
60,1068588.0549241093
61,1074608.2392010146
62,1070363.3174458772
