,0
0,-365.75651992158964
1,264.190327078104
2,-120.80513093643822
3,2676.161746697733
4,-664.4373662732542
5,-86.43719378649257
6,-321.36358124553226
7,2439.7328566370998
8,-950.9015427585691
9,1058.6012445678934
10,-2250.3288075558376
11,281.55265342839994
12,802.8089213387575
13,-3065.6870732139796
14,38.241914064157754
15,-6.73878062912263
16,-3049.027991474024
17,-894.4581586967688
18,-2497.983461827389
19,4795.629346736008
20,-2417.434615152655
21,-3214.6582624459406
22,1087.211802215199
23,4078.780473612249
24,3181.71595617407
25,-1628.0366061299574
26,-1257.742445461452
27,-21524.07739717979
28,11710.741937653045
29,-15070.643182464293
30,-2935.7080350610195
31,7479.215365111828
32,-4779.013397469185
33,123.73649174417369
34,399.18974673654884
35,8921.456148648169
36,5073.832287853467
37,-4947.144324944587
38,-8470.008006812306
39,7163.307778973714
40,7110.84026266844
41,-8732.010072037112
42,7256.317837311537
43,-3700.6053969038185
44,-5262.379910603515
45,3709.9385083491215
46,2099.689871427021
47,-3632.8687438020715
48,3200.0379921798594
49,-12704.78671040386
50,26.27339211641811
51,-2905.0639318387257
52,1427.7880939093884
53,-2933.4306501310784
54,6567.872678271728
55,756.356077003642
56,-2625.8853214550763
57,-999.2318341385107
58,4351.030095312162
59,-4199.936908969074
60,-1319.1941316070734
61,-1534.2784441453405
