,0
0,-4797.744590913877
1,-153.4943762139883
2,5997.170319918776
3,1406.3615084113553
4,-3046.5479135923088
5,-1672.496672024252
6,1193.734703233
7,-3517.3773820442148
8,2148.5722998376004
9,-3540.4715136899613
10,-16398.052133999532
11,2093.6750992315356
12,11671.815810768865
13,6735.520743791945
14,2713.657140496187
15,6742.1585561598185
16,7136.129244548269
17,1562.8647502025124
18,-1198.0918634410482
19,1146.0120726244058
20,7826.226068802876
21,5661.089118628763
22,-2319.919957208447
23,-4150.614320087712
24,1778.9146139030345
25,310.55490428349003
26,5014.701789214741
27,-2977.0557236114983
28,5028.584843387594
29,1911.0907079216558
30,1420.6599526922219
31,-801.392966030864
32,9510.146962444065
33,-5102.856109157205
34,-9695.927775210701
35,-1632.0006186938845
36,7.695918331388384
37,1855.0410771970637
38,-6500.741514913738
39,8898.200026097009
40,-8039.154296985129
41,4875.6814433010295
42,2672.9171907145064
43,1402.797360270517
44,-7250.32139156037
45,6635.824103473453
46,416.16735292458907
47,-1019.8561258988921
48,11725.911716272123
49,-1729.9385701671708
50,5577.834413006902
51,808.268114261562
52,-5108.462265489157
53,7999.408977579558
54,-1747.1954247464892
55,-5216.459692051634
56,-2587.2496413961053
57,25998.143624874298
58,-8233.981486272067
59,10817.2938988253
60,-1226.9699526224285
61,-849.2459875480272
