,0
0,-7080.372061001603
1,4183.8344348308165
2,-224.05042401701212
3,8129.818436280824
4,-4045.5063389367424
5,-13189.689390776213
6,16658.979925646912
7,-36875.96049261396
8,243.10221041715704
9,-1252.0052772008348
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,43.30117079871707
35,-1414.9153368622065
36,-220.27732000220567
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,630.2553966129199
48,3814.488548362395
49,-258.41299295192584
50,0.0
51,-414.16949997120537
52,-1129.090060587041
53,-302.1676398862619
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
