,0
0,-4272.255258760881
1,3008.570384731167
2,-1279.0701074072858
3,7195.708604367683
4,-5308.581043907558
5,-11019.487712692702
6,14467.820325759705
7,-29139.04158734402
8,-1490.2418350566877
9,-972.1231302371016
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-420.5796944447793
35,-3949.766560219112
36,-340.0239967352245
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,1216.0279757456155
48,3044.9673936706968
49,-296.014483165578
50,0.0
51,-549.7769258857006
52,669.3355820629513
53,-286.33808035228867
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
