,0
0,1000000.0
1,999634.2434800784
2,999898.4338071565
3,999777.6286762201
4,1002453.7904229178
5,1001789.3530566446
6,1001702.9158628581
7,1001381.5522816125
8,1003821.2851382496
9,1002870.3835954911
10,1003928.984840059
11,1001678.6560325031
12,1001960.2086859315
13,1002763.0176072703
14,999697.3305340563
15,999735.5724481205
16,999728.8336674913
17,996679.8056760173
18,995785.3475173205
19,993287.3640554931
20,998082.9934022292
21,995665.5587870765
22,992450.9005246306
23,993538.1123268458
24,997616.892800458
25,1000798.6087566321
26,999170.5721505021
27,997912.8297050407
28,976388.7523078609
29,988099.4942455139
30,973028.8510630496
31,970093.1430279886
32,977572.3583931004
33,972793.3449956313
34,972917.0814873754
35,973316.271234112
36,982237.7273827601
37,987311.5596706136
38,982364.415345669
39,973894.4073388567
40,981057.7151178304
41,988168.5553804989
42,979436.5453084618
43,986692.8631457733
44,982992.2577488695
45,977729.877838266
46,981439.8163466151
47,983539.5062180421
48,979906.63747424
49,983106.6754664199
50,970401.888756016
51,970428.1621481325
52,967523.0982162937
53,968950.8863102031
54,966017.455660072
55,972585.3283383438
56,973341.6844153474
57,970715.7990938923
58,969716.5672597538
59,974067.597355066
60,969867.6604460969
61,968548.4663144898
62,967014.1878703445
