,0
0,1242096.4038162164
1,1243405.387336115
2,1243315.6238068074
3,1243315.6238068074
4,1243315.6238068074
5,1243315.6238068074
6,1243315.6238068074
7,1243315.6238068074
8,1243315.6238068074
9,1243315.6238068074
10,1243315.6238068074
11,1243315.6238068074
12,1243315.6238068074
13,1243315.6238068074
14,1243315.6238068074
15,1243315.6238068074
16,1243315.6238068074
17,1243315.6238068074
18,1243315.6238068074
19,1243315.6238068074
20,1241880.998605141
21,1243995.9040524783
22,1247129.3994904798
23,1249029.6122631195
24,1250203.6097550301
25,1246755.97727798
26,1246178.8137920063
27,1246178.8137920063
28,1245782.3334424673
29,1246160.8759632078
30,1245841.9713220454
31,1247022.6427351092
32,1246916.6510030793
33,1247524.7110551144
34,1246500.7215423954
35,1246259.853830669
36,1246259.853830669
37,1246259.853830669
38,1246259.853830669
39,1247638.5829889677
40,1247453.564464803
41,1247453.564464803
42,1247453.564464803
43,1247453.564464803
44,1247453.564464803
45,1247453.564464803
46,1247453.564464803
47,1247453.564464803
48,1247453.564464803
49,1247453.564464803
50,1247453.564464803
51,1247453.564464803
52,1247453.564464803
53,1247453.564464803
54,1247453.564464803
55,1247453.564464803
56,1247453.564464803
57,1247453.564464803
58,1247453.564464803
59,1247453.564464803
60,1247453.564464803
61,1247453.564464803
62,1247453.564464803
