,0
0,1284811.4109282775
1,1277155.1696103269
2,1281339.0040451577
3,1281114.9536211407
4,1289244.7720574215
5,1285199.2657184848
6,1272009.5763277085
7,1288668.5562533555
8,1251792.5957607415
9,1252035.6979711587
10,1250783.6926939578
11,1250783.6926939578
12,1250783.6926939578
13,1250783.6926939578
14,1250783.6926939578
15,1250783.6926939578
16,1250783.6926939578
17,1250783.6926939578
18,1250783.6926939578
19,1250783.6926939578
20,1250783.6926939578
21,1250783.6926939578
22,1250783.6926939578
23,1250783.6926939578
24,1250783.6926939578
25,1250783.6926939578
26,1250783.6926939578
27,1250783.6926939578
28,1250783.6926939578
29,1250783.6926939578
30,1250783.6926939578
31,1250783.6926939578
32,1250783.6926939578
33,1250783.6926939578
34,1250783.6926939578
35,1250826.9938647565
36,1249412.0785278943
37,1249191.8012078921
38,1249191.8012078921
39,1249191.8012078921
40,1249191.8012078921
41,1249191.8012078921
42,1249191.8012078921
43,1249191.8012078921
44,1249191.8012078921
45,1249191.8012078921
46,1249191.8012078921
47,1249191.8012078921
48,1249822.056604505
49,1253636.5451528674
50,1253378.1321599155
51,1253378.1321599155
52,1252963.9626599443
53,1251834.8725993573
54,1251532.704959471
55,1251532.704959471
56,1251532.704959471
57,1251532.704959471
58,1251532.704959471
59,1251532.704959471
60,1251532.704959471
61,1251532.704959471
62,1251532.704959471
