,0
0,1338233.9914321597
1,1318058.6226048684
2,1316739.1847483472
3,1316738.5862070874
4,1316371.4668710732
5,1318009.8048377754
6,1317857.204541793
7,1317919.7831287382
8,1318068.4096068535
9,1315725.3378167301
10,1316659.7413510191
11,1315485.8718333475
12,1314715.900178162
13,1322129.1080785235
14,1317237.385915174
15,1319317.8874645429
16,1315710.7893052346
17,1313420.4384621163
18,1295601.7041407493
19,1308654.80958136
20,1294643.318424101
21,1307912.8762741496
22,1314960.6553368266
23,1314874.3872120928
24,1337208.1679788292
25,1334727.4707089341
26,1335011.5849398961
27,1336455.3777095675
28,1337806.5010320803
29,1328109.8985174475
30,1325324.9446305595
31,1314767.4602435876
32,1307359.5119395663
33,1284600.9497635528
34,1286556.6894638347
35,1270636.9804067558
36,1276265.9441166432
37,1255270.6115650663
38,1255032.112338672
39,1247760.0973603686
40,1251177.836932026
41,1253646.7238199038
42,1252410.9180125033
43,1252085.8526863207
44,1254061.8214472807
45,1255168.704054602
46,1259835.2478221233
47,1262375.2523317297
48,1258975.3950056606
49,1264049.0275122065
50,1267313.8011064753
51,1267682.722052889
52,1264700.012692839
53,1270848.921555309
54,1264564.2566001466
55,1262954.1662262415
56,1262360.9525314132
57,1267729.0122692597
58,1275102.3403469976
59,1282153.2407071635
60,1274124.639244283
61,1259039.5469801833
62,1264442.3212291624
