,0
0,1264442.3212291624
1,1261561.6234706065
2,1260393.741025564
3,1260393.741025564
4,1260393.741025564
5,1260393.741025564
6,1260393.741025564
7,1260393.741025564
8,1260393.741025564
9,1260393.741025564
10,1260393.741025564
11,1260393.741025564
12,1260393.741025564
13,1260393.741025564
14,1260393.741025564
15,1259552.4218994246
16,1258139.8387150057
17,1259725.5357495346
18,1262483.2073028283
19,1263395.992612223
20,1265968.6623131752
21,1262160.2759021018
22,1261722.2468535244
23,1260754.6871133584
24,1260974.0455739656
25,1260378.1718125404
26,1259491.4584345594
27,1259848.073303857
28,1260874.7556731375
29,1260205.88827845
30,1260205.88827845
31,1260205.88827845
32,1260205.88827845
33,1261150.1010215231
34,1261984.2183143913
35,1266739.0714452337
36,1270635.7319095891
37,1264186.045559655
38,1262424.926825887
39,1257656.03286314
40,1260203.4118621515
41,1263701.7915747971
42,1262438.1215975103
43,1262438.1215975103
44,1262438.1215975103
45,1262438.1215975103
46,1262438.1215975103
47,1262438.1215975103
48,1262438.1215975103
49,1262438.1215975103
50,1262438.1215975103
51,1263158.4931896362
52,1262091.7282898142
53,1270875.5774065987
54,1273145.28042474
55,1272523.7901934595
56,1272523.7901934595
57,1272523.7901934595
58,1272523.7901934595
59,1272523.7901934595
60,1272523.7901934595
61,1272523.7901934595
62,1272523.7901934595
