,0
0,-597.3370593846776
1,-2063.3265490895137
2,-1510.9375930321403
3,-557.6349490870489
4,-977.3251395364059
5,14256.167492566281
6,4474.892126296065
7,9642.878611087333
8,15744.163083900698
9,4420.794693705044
10,5090.952978458838
11,-2342.2594653173583
12,-2325.2939587967703
13,1809.4875736929243
14,-2977.3596675589215
15,2740.510644641705
16,7992.668443916715
17,4581.001806007698
18,2811.6244977090973
19,-3120.8031366094947
20,5626.650681494735
21,-724.8389218959492
22,5560.039985500742
23,-1388.253228370333
24,-880.603361607762
25,449.33111167373136
26,19077.647092246916
27,970.7334438646212
28,10276.939250830561
29,3483.0780239501037
30,3209.0355154043064
31,-10138.396430218592
32,1121.9053427265026
33,3703.9778357143514
34,3928.051748282509
35,3986.0891573708504
36,-23.94896033126861
37,-962.2796554085799
38,1217.9858549661003
39,-317.50829644082114
40,-7187.056946322322
41,-199.94182086829096
42,-4144.857742946828
43,7002.670889139874
44,3788.331728670979
45,-1521.998444871977
46,1613.5537000913173
47,-4382.3377271774225
48,2308.2317293824162
49,2642.6413138278294
50,-4471.223883024184
51,28.593236685963348
52,-3543.872802092228
53,316.91139349807054
54,174.05048158601858
55,4216.836868805578
56,-1382.2457487904467
57,14709.194559165044
58,18621.86530903261
59,5556.7225726286415
60,-956.1748266906943
61,-10373.00071270438
