,0
0,52.662184450542554
1,-426.5361488217022
2,1124.6153388126986
3,224.08055554167368
4,-988.1396087267203
5,1019.3433322408237
6,-1399.4076445711544
7,-503.2284339321777
8,4723.7141589422245
9,668.2613778966479
10,-26121.55951276992
11,2767.374231697526
12,4578.973706673132
13,1165.1592899120878
14,4104.424399955315
15,5636.47676065308
16,-2474.080761345802
17,1375.6137402609456
18,-7027.17539723916
19,-5414.31699094933
20,10832.21879628324
21,186.26327905454673
22,1033.796710805269
23,-1231.519878058345
24,3740.647290417459
25,2447.477380494238
26,8589.713791134767
27,-1403.4115186573472
28,6771.443177505978
29,1233.020050426363
30,-6392.238216711208
31,-3552.7602465181844
32,9373.293627720093
33,-3914.2665908078197
34,-7135.018761876388
35,-4182.009014328476
36,-1393.7226494682254
37,4025.163140201126
38,-2289.746176075889
39,6962.367237069178
40,-1602.467792313313
41,7623.858728006831
42,10268.08877587854
43,-3759.276601129677
44,-6451.259152375162
45,3733.1260694522643
46,938.1341275299201
47,842.8555481485091
48,6622.342558798729
49,1435.8587063428713
50,1303.9042786854552
51,-620.9611665430712
52,-9536.96190083411
53,3720.1124870503554
54,992.5938563635573
55,-4678.540019085747
56,-5826.0566432047635
57,13910.558794230805
58,-5241.8232004445745
59,-7.774097370565869
60,2643.0790302202804
61,3363.213955405052
