,0
0,71.31873904063832
1,-131.60665287740994
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,-65.64414285426028
32,-160.31785037205555
33,0.0
34,-298.5030259821797
35,-2268.3729248187738
36,-428.9545497370418
37,2279.143190197414
38,8004.814803480171
39,6534.174090054468
40,1714.3933609885862
41,7575.917590319994
42,-3432.854523094953
43,-3770.158564418438
44,-1865.82488228695
45,2208.327597739408
46,4665.098914793925
47,9198.458572946838
48,1695.3129654572112
49,276.63283034903
50,-7152.440446627676
51,2753.4109431323595
52,-5749.635385695379
53,2734.5335688905325
54,7311.0390995246125
55,-1031.6778560292441
56,0.0
57,109.4754100338323
58,-161.02367227198556
59,-874.9115585951367
60,-184.60020276159048
61,-1807.8447302612476
