,0
0,1280395.428469157
1,1280703.4929823023
2,1280548.3625138435
3,1280548.3625138435
4,1280548.3625138435
5,1280548.3625138435
6,1280548.3625138435
7,1280548.3625138435
8,1280548.3625138435
9,1280548.3625138435
10,1280548.3625138435
11,1280548.3625138435
12,1280548.3625138435
13,1280548.3625138435
14,1280548.3625138435
15,1280548.3625138435
16,1280548.3625138435
17,1280548.3625138435
18,1280548.3625138435
19,1280548.3625138435
20,1280548.3625138435
21,1280548.3625138435
22,1280548.3625138435
23,1280548.3625138435
24,1279419.7865727753
25,1279274.0948459834
26,1279274.0948459834
27,1276298.3247445724
28,1276128.9080477264
29,1276128.9080477264
30,1276128.9080477264
31,1276128.9080477264
32,1276128.9080477264
33,1274496.3148238035
34,1271768.4689525992
35,1274049.249320416
36,1261909.486756328
37,1261358.7261749054
38,1261358.7261749054
39,1261358.7261749054
40,1260224.7227127529
41,1260087.280624764
42,1260104.663340543
43,1258341.654900698
44,1258079.0494739283
45,1258079.0494739283
46,1258079.0494739283
47,1258079.0494739283
48,1258079.0494739283
49,1259668.9195828855
50,1258256.2837123496
51,1255534.0462705132
52,1254478.5490559014
53,1255867.2306663825
54,1240050.7042216235
55,1243086.884305068
56,1242096.4038162164
57,1242096.4038162164
58,1242096.4038162164
59,1242096.4038162164
60,1242096.4038162164
61,1242096.4038162164
62,1242096.4038162164
