,0
0,1272523.7901934595
1,1273788.8614694134
2,1277505.7259036396
3,1276236.3261101372
4,1277573.1696109558
5,1279966.914786664
6,1292697.848485465
7,1293322.5898158795
8,1286894.5022393235
9,1269373.9352616798
10,1267802.5322550978
11,1263703.6159007365
12,1273160.0720100822
13,1276340.1924027465
14,1253576.3601809442
15,1228023.6674669427
16,1232115.5554591839
17,1222810.104486
18,1245776.1114690416
19,1255805.8901714263
20,1287391.9891048314
21,1277233.4877181407
22,1294467.6230851554
23,1308212.468826267
24,1261318.7853079846
25,1266835.0827338947
26,1236637.8148941817
27,1236496.0670874536
28,1233973.676328094
29,1243913.9536751548
30,1240060.2013812966
31,1222181.3743984757
32,1187807.0494872695
33,1194663.3046581105
34,1178627.0004945935
35,1153211.8040790327
36,1121562.05105574
37,1095673.0001403508
38,1158957.9856253061
39,1172383.1950666711
40,1168588.9546098362
41,1180285.7473734296
42,1185379.0878934416
43,1150520.532282984
44,1192108.5975448652
45,1204937.9744820278
46,1216163.874547848
47,1222422.6157351425
48,1222009.7345214407
49,1221799.4391464733
50,1217190.0520831002
51,1215404.6606553497
52,1219345.264352186
53,1220092.6852709781
54,1236427.7291000693
55,1224220.3969607786
56,1225173.0806794588
57,1224619.5006892541
58,1237861.9632540361
59,1225697.5201765099
60,1220383.361150931
61,1244566.9862161614
62,1233372.0671824727
