,0
0,1246248.4700085812
1,1253888.4891195544
2,1260646.522917985
3,1262680.9722444755
4,1266739.21681957
5,1267766.6730570674
6,1275822.4313909675
7,1281430.0434418132
8,1276653.151025823
9,1279795.8099102236
10,1278347.8356531488
11,1279877.8985675154
12,1269714.024221704
13,1280114.5636044515
14,1275112.0859862147
15,1274478.0024947738
16,1284831.3486618237
17,1282688.3839285895
18,1282745.4856195082
19,1281524.8157963925
20,1301521.2304991747
21,1291446.5783616467
22,1307459.197556745
23,1298437.9563089092
24,1288320.5643907944
25,1287685.66972532
26,1292567.132063234
27,1292254.4243029307
28,1305082.6160425872
29,1311098.2234518628
30,1316567.5150542422
31,1317676.894177813
32,1308917.4431205008
33,1323891.2350944846
34,1330302.4476239774
35,1322632.8965270843
36,1320853.2901374246
37,1325630.1451988297
38,1319776.72564106
39,1319774.56386764
40,1320745.1796597475
41,1323312.6268236027
42,1316909.9662343715
43,1330243.7695585766
44,1335691.6220089188
45,1326606.9062395128
46,1342600.9188630492
47,1346328.934330822
48,1345693.2136981608
49,1348074.6837231498
50,1356642.1007565279
51,1363619.2116187345
52,1360198.4748161382
53,1368472.9086815242
54,1370469.0225490683
55,1378112.9733405102
56,1384468.4271072852
57,1377454.34558504
58,1382780.5040020067
59,1387927.4616131347
60,1401369.1808796395
61,1394370.52257585
62,1371636.0526933197
