,0
0,797.5540057803737
1,-174.3021134348819
2,0.0
3,0.0
4,0.0
5,0.0
6,367.4877885892056
7,-1772.506595526589
8,-327.71897000365425
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,101.34283582179341
27,-170.67645318899304
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,322.1432324505877
48,144.09487484476995
49,-1847.857248365297
50,5215.253016887931
51,1236.4537797101075
52,3722.0963393010898
53,16031.288018428255
54,-9948.707850027015
55,10971.81719574274
56,-1024.6642932271352
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
